Nom du club,Adresse email,Niveau,Région,Département ,Contacté,Relance,Réponse,Choix,Infos club,Consignes données,URL FFHB
AGJA Bordeaux Caudéran,,Régional,Nouvelle-Aquitaine,Gironde,Non,,,,,,https://monclub.ffhandball.fr/clubs/agja-bordeaux-cauderan/
"Agl Hb Fougeres",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/agl-hb-fougeres/
"Aheztarrak Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aheztarrak-hb/
"Aiglon Du Lamentin",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aiglon-du-lamentin/
"Aigueleze Beach Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aigueleze-beach-handball/
"Ailly Sur Noye Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ailly-sur-noye-handball/
"Ailly Sur Somme Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ailly-sur-somme-handball/
"Aindball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aindball-club/
"Airbus Staff Association",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/airbus-staff-association/
"Airvault Fat",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/airvault-fat/
"Aixe Bosmie Condat Hand 87",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aixe-bosmie-condat-hand-87/
Aixe Handball Club,,,Nouvelle-Aquitaine,Haute-Vienne,Non,,,,,,https://monclub.ffhandball.fr/clubs/aixe-handball-club/
AJ St Vincent de Paul,ajsvp.handball@gmail.com,,Île-de-France,Paris,Non,,,,,,
"Ajh De Koungou",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ajh-de-koungou/
"Ajs Ouistreham Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ajs-ouistreham-handball/
"Ajsc De Volga Plage",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ajsc-de-volga-plage/
AL Agen Handball,,,Nouvelle-Aquitaine,Lot-et-Garonne,Non,,,,,,
"Al Agen Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-agen-hb/
"Al Andouille",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-andouille/
AL Aubière Handball,,,Auvergne-Rhône-Alpes,Puy-de-Dôme,Non,,,,,,https://monclub.ffhandball.fr/clubs/al-aubiere-handball/
AL Boën Handball,,,Auvergne-Rhône-Alpes,Loire,Non,,,,,,
AL Brétigny,,,Île-de-France,Essonne,Non,,,,,,https://monclub.ffhandball.fr/clubs/al-bretigny/
"Al Callacois",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-callacois/
"Al Cancale",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-cancale/
"Al Cendrieux Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-cendrieux-handball/
AL Césaire Levillain Grand Quevilly,,,Normandie,Seine-Maritime,Non,,,,,,
"Al Chateaubriant",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-chateaubriant/
"Al Chateaulin Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-chateaulin-hb/
"Al Condat",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-condat/
AL Déville,,,Normandie,Seine-Maritime,Non,,,,,,
"Al Echirolles Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-echirolles-handball/
"Al Epinay",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-epinay/
"Al Les Amis De Lecole De St Pierrebrouck",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-les-amis-de-lecole-de-st-pierrebrouck/
"Al Loudeac Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-loudeac-hb/
"Al Marigny",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-marigny/
"Al Merdrignac",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-merdrignac/
"Al Missillac Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-missillac-handball/
"Al Pontorson Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-pontorson-hb/
"Al Quimper",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-quimper/
"Al Spezet Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-spezet-handball/
"Al St Brieuc Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-st-brieuc-hb/
"Al St Eloy Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-st-eloy-handball/
"Al St Etienne De Montluc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-st-etienne-de-montluc/
"Al St Martin Le Vinoux",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-st-martin-le-vinoux/
"Al St Sebastien",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-st-sebastien/
"Al Trebeurden Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-trebeurden-hb/
"Al Voiron Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-voiron-hb/
"Al Vx Marche Plouaret Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/al-vx-marche-plouaret-hb/
"Alakarabu Hand",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alakarabu-hand/
"Albert Sports Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/albert-sports-handball/
"Alc Longvic",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alc-longvic/
Alès Cévennes Handball,,,Occitanie,Gard,Non,,,,,,https://monclub.ffhandball.fr/clubs/ales-cevennes-handball/
"Ales Mines Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ales-mines-hb/
"Algrange",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/algrange/
"Alhb Vertus",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alhb-vertus/
"Allauch Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/allauch-handball/
"Alpe Revin",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alpe-revin/
"Alpha Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alpha-handball/
"Als Plouagat Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/als-plouagat-hb/
"Als Sauveterre Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/als-sauveterre-handball/
"Alten Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alten-handball/
"Altitude 973",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/altitude-973/
"Alvb Gamaches",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/alvb-gamaches/
"Am Sport Dembeni",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/am-sport-dembeni/
"Amanvillers Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amanvillers-hbc/
"Amberieu Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amberieu-hbc/
Amical du Handball Rosnéen (ADHR),,,Île-de-France,Seine-Saint-Denis,Non,,,,,,
"Amical Handball Club Felix Guyon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amical-handball-club-felix-guyon/
"Amical Laique Handball Pontorson",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amical-laique-handball-pontorson/
Amical Morcenais,,,Nouvelle-Aquitaine,Landes,Non,,,,,,
Amicale Champanelloise Handball Club,,,Auvergne-Rhône-Alpes,Puy-de-Dôme,Non,,,,,,
"Amicale Champanelloise Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-champanelloise-hbc/
"Amicale Croix Bleue Poya",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-croix-bleue-poya/
"Amicale Croix Bleue Poya 2",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-croix-bleue-poya-2/
"Amicale Des Corpos 67",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-des-corpos-67/
"Amicale Des Handballeurs Des Bdr",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-des-handballeurs-des-bdr/
"Amicale Des Sapeurs Pompiers A Toulouse",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-des-sapeurs-pompiers-a-toulouse/
"Amicale Epernon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-epernon/
"Amicale Hand Ball De Verson",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-hand-ball-de-verson/
"Amicale Jeunesse Thorigny Section Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-jeunesse-thorigny-section-handball/
Amicale Laïque Bosmie l'Aiguille,,,Nouvelle-Aquitaine,Haute-Vienne,Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-bosmie-laiguille/
"Amicale Laique Bourganeuf",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-bourganeuf/
"Amicale Laique Buquet Elbeuf Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-buquet-elbeuf-hb/
"Amicale Laique Cesaire Levillain",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-cesaire-levillain/
"Amicale Laique De Neuves Maisons",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-de-neuves-maisons/
"Amicale Laique De Pouldreuzic",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-de-pouldreuzic/
"Amicale Laique Deville Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-deville-handball/
"Amicale Laique Dinard",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-dinard/
"Amicale Laique Du Palais S Vienne",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-du-palais-s-vienne/
Amicale Laïque du Palais-sur-Vienne Handball,,Régional,Nouvelle-Aquitaine,Haute-Vienne,Non,,,,,,
"Amicale Laique Fruges",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-fruges/
"Amicale Laique La Guerche",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-la-guerche/
"Amicale Laique Oignies Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-oignies-hb/
"Amicale Laique Queven",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-queven/
"Amicale Laique Renaison Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-laique-renaison-handball/
"Amicale Omnisport De Buc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-omnisport-de-buc/
"Amicale Sportive Brevelaise",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-brevelaise/
"Amicale Sportive De Luzarches Handball 95",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-de-luzarches-handball-95/
Amicale Sportive de Montmarault Handball,,,Auvergne-Rhône-Alpes,Allier,Non,,,,,,
"Amicale Sportive Et Culturelle Bnp Paribas",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-et-culturelle-bnp-paribas/
"Amicale Sportive Gaz Electricite Dordogne",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-gaz-electricite-dordogne/
"Amicale Sportive Harfleur Beaulieu",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-harfleur-beaulieu/
"Amicale Sportive Levroux Valencay",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-levroux-valencay/
"Amicale Sportive Montmarault Section Hand",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-montmarault-section-hand/
"Amicale Sportive Union Cheminote De Migennes Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amicale-sportive-union-cheminote-de-migennes-hb/
"Amiens Espoir Saint Maurice Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amiens-espoir-saint-maurice-handball/
"Amiens Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amiens-handball-club/
"Amiens Metropole Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amiens-metropole-handball/
"Amiens Picardie Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amiens-picardie-handball/
"Amneville",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amneville/
"Amognes Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amognes-handball/
"Amplepuis Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amplepuis-hbc/
AMS Handball Achicourt,,,Hauts-de-France,Pas-de-Calais,Non,,,,,,https://monclub.ffhandball.fr/clubs/ams-handball-achicourt/
"Amsec Mangajou",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/amsec-mangajou/
"Ancenis Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ancenis-handball/
"Anciens Du Pole Espoir Handball Aura",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/anciens-du-pole-espoir-handball-aura/
"Andaines Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/andaines-hb/
Andernos Handball Nord Bassin,,National,Nouvelle-Aquitaine,Gironde,Non,,,,,,https://monclub.ffhandball.fr/clubs/andernos-handball-nord-bassin/
"Anduze Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/anduze-handball-club/
"Angers Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/angers-handball-club/
"Angers Lac De Maine Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/angers-lac-de-maine-handball/
"Angers Sco Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/angers-sco-handball/
"Angill Hand",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/angill-hand/
Anglet Biarritz Olympique Handball,,Régional,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Non,,,,,,https://monclub.ffhandball.fr/clubs/anglet-biarritz-olympique-handball/
"Angouleme Charente Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/angouleme-charente-handball/
"Annecy Csav Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/annecy-csav-handball/
"Annecy Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/annecy-handball/
"Annemasse Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/annemasse-handball/
"Ansanm Ansanm",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ansanm-ansanm/
"Anse Ball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/anse-ball/
Anzin Handball,,,Hauts-de-France,Nord,Non,,,,,,
"Aoc Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aoc-handball/
"Aoco Handball Bazoches",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aoco-handball-bazoches/
AOG Handball - La Gardonnenque - Saint-Geniès-de-Malgoirès,,,Occitanie,Gard,Non,,,,,,
"Aphb Eyguieres Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aphb-eyguieres-club/
"Aphd Hopital",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aphd-hopital/
Aramon Handball Club (HBC Aramon),,,Occitanie,Gard,Non,,,,,,
"Arbitrer En Languedoc Roussillon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arbitrer-en-languedoc-roussillon/
Arcachon La Teste Handball Club,,National,Nouvelle-Aquitaine,Gironde,Non,,,,,,
"Arcachon La Teste Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arcachon-la-teste-hbc/
"Archiac",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/archiac/
"Arci Iloni",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arci-iloni/
"Arcis Handball Feminin",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arcis-handball-feminin/
"Ardeche Meridionale Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ardeche-meridionale-handball/
"Areches Beaufort Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/areches-beaufort-handball/
"Argeles Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/argeles-handball-club/
"Argences Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/argences-handball/
"Argonne Orleans Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/argonne-orleans-handball/
"Arlequins Handball Torreillan",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arlequins-handball-torreillan/
"Armagnac Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/armagnac-handball-club/
Armentières Handball,,,Hauts-de-France,Nord,Non,,,,,,
"Armentieres Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/armentieres-handball-club/
"Armor Club De La Motte",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/armor-club-de-la-motte/
"Arnas Beaujolais Handball Club",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arnas-beaujolais-handball-club/
"Arradon Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arradon-hbc/
"Arsenal Du Robert",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arsenal-du-robert/
"Arts Et Sports De Drancy Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arts-et-sports-de-drancy-handball/
"Arue Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arue-hbc/
"Arve Giffre Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arve-giffre-handball/
"Arvor 29 Pays De Brest",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/arvor-29-pays-de-brest/
"As Accenture",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-accenture/
AS Ambarésienne,,,Nouvelle-Aquitaine,Gironde,Non,,,,,,https://monclub.ffhandball.fr/clubs/as-ambaresienne/
"As Ambrieres Les Vallees",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-ambrieres-les-vallees/
"As Armor",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-armor/
"As Auxois",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-auxois/
"As Avrille Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-avrille-hb/
"As Balneolitaine",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-balneolitaine/
"As Beaulieu Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-beaulieu-handball/
"As Belfort Sud Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-belfort-sud-hb/
"As Boehringer Ingelheim",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-boehringer-ingelheim/
"As Boupere",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-boupere/
"As Bram Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-bram-handball/
"As Bruffiere Defontaine Vendee Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-bruffiere-defontaine-vendee-handball/
"As Btp Nice Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-btp-nice-handball/
"As Cannes Mandelieu Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-cannes-mandelieu-handball/
"As Chantepie Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-chantepie-handball/
"As Charmes St Georges Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-charmes-st-georges-hb/
"As Chateau Morange",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-chateau-morange/
"As Chelles Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-chelles-handball/
"As Clamecycoise",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-clamecycoise/
AS Corbeil,,,Île-de-France,Essonne,Non,,,,,,
"As Corbeil Essonnes",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-corbeil-essonnes/
"As Coridon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-coridon/
"As Crepieux Rillieux Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-crepieux-rillieux-hb/
"As Dompierre Jaligny Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-dompierre-jaligny-hb/
"As Dragon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-dragon/
"As Dragon 2",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-dragon-2/
"As Egly",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-egly/
AS Égly Handball,,,Île-de-France,Essonne,Non,,,,,,
"As Electricite Corpos",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-electricite-corpos/
AS et Corpo Université Montpellier Handball,,,Occitanie,Hérault,Non,,,,,,
"As Etaples Handball Cote D Opale",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-etaples-handball-cote-d-opale/
"As Etival Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/as-etival-handball/
